companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
"Alliance Resource Partners, L.P. Common Units representing Limited Partners Interests",ARLP,2/06/2026,2/13/2026,2/06/2026,0.6,2.4,1/28/2026
"Citizens Community Bancorp, Inc. Common Stock",CZWI,2/06/2026,2/20/2026,2/06/2026,0.105,0.0,1/22/2026
Community West Bancshares Common Stock,CWBC,2/06/2026,2/20/2026,2/06/2026,0.12,0.48,1/21/2026
"Dime Community Bancshares, Inc. Fixed-Rate Non-Cumulative Perpetual Preferred Stock, Series A",DCOMP,2/06/2026,2/13/2026,2/06/2026,0.34375,1.375,1/22/2026
First Bank Common Stock,FRBA,2/06/2026,2/20/2026,2/06/2026,0.09,0.24,1/28/2026
Franklin Financial Services Corporation Common Stock,FRAF,2/06/2026,2/25/2026,2/06/2026,0.33,1.32,1/15/2026
"Hope Bancorp, Inc. Common Stock",HOPE,2/06/2026,2/20/2026,2/06/2026,0.14,0.56,1/27/2026
"J.B. Hunt Transport Services, Inc. Common Stock",JBHT,2/06/2026,2/20/2026,2/06/2026,0.45,1.76,1/22/2026
Martin Midstream Partners L.P. Limited Partnership,MMLP,2/06/2026,2/13/2026,2/06/2026,0.005,0.02,1/22/2026
Mid Penn Bancorp Common Stock,MPB,2/06/2026,2/17/2026,2/06/2026,0.27,0.88,1/21/2026
Park-Ohio Holdings Corp. Common Stock,PKOH,2/06/2026,2/20/2026,2/06/2026,0.125,0.5,1/23/2026
"Richardson Electronics, Ltd. Common Stock",RELL,2/06/2026,2/25/2026,2/06/2026,0.06,0.24,1/06/2026
Weatherford International plc Ordinary Shares,WFRD,2/06/2026,3/05/2026,2/06/2026,0.275,1.0,1/26/2026
