companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
AGNC Investment Corp. Common Stock,AGNC,1/30/2026,2/10/2026,1/30/2026,0.12,1.44,1/08/2026
Alliant Energy Corporation Common Stock,LNT,1/30/2026,2/17/2026,1/30/2026,0.535,2.03,1/12/2026
"CareCloud, Inc. 8.75% Series B Cumulative Redeemable Perpetual Preferred Stock",CCLDO,1/30/2026,2/17/2026,1/31/2026,0.36458,2.18748,1/15/2026
"Casey's General Stores, Inc. Common Stock",CASY,1/30/2026,2/13/2026,2/01/2026,0.57,2.28,12/04/2025
Concentrix Corporation Common Stock,CNXC,1/30/2026,2/10/2026,1/30/2026,0.36,1.44,1/13/2026
Costco Wholesale Corporation Common Stock,COST,1/30/2026,2/13/2026,1/30/2026,1.3,5.2,1/15/2026
First Merchants Corporation Depository Shares,FRMEP,1/30/2026,2/16/2026,1/30/2026,0.4688,1.8752,1/12/2026
"Lifetime Brands, Inc. Common Stock",LCUT,1/30/2026,2/13/2026,1/30/2026,0.0425,0.17,11/04/2025
"Old Second Bancorp, Inc. Common Stock",OSBC,1/30/2026,2/09/2026,1/30/2026,0.07,0.28,1/20/2026
"Plains All American Pipeline, L.P. Common Units representing Limited Partner Interests",PAA,1/30/2026,2/13/2026,1/30/2026,0.4175,1.52,1/05/2026
"Plains GP Holdings, L.P. Class A Units representing Limited Partner Interests",PAGP,1/30/2026,2/13/2026,1/30/2026,0.4175,1.52,1/05/2026
Scholastic Corporation Common Stock,SCHL,1/30/2026,3/16/2026,1/30/2026,0.2,0.8,12/17/2025
"Strive, Inc. Variable Rate Series A Perpetual Preferred Stock",SATA,1/30/2026,2/15/2026,2/01/2026,1.0208,12.2496,1/14/2026
Texas Instruments Incorporated Common Stock,TXN,1/30/2026,2/10/2026,1/30/2026,1.42,5.68,1/24/2026
"Union Bankshares, Inc. Common Stock",UNB,1/30/2026,2/05/2026,1/31/2026,0.36,1.44,1/21/2026
